,Name,Instrument Type,Currency,Contributor,RIC
158,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L3Y=FMD
159,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L4Y=FMD
160,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L2Y=FMD
161,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L5Y=FMD
162,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L6Y=FMD
163,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L7Y=FMD
164,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L8Y=FMD
165,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L15Y=FMD
166,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L20Y=FMD
167,UK Pound Sterling 3 Month Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L3M=FMD
168,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L6Y=FMD
169,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L8Y=FMD
170,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L10Y=FMD
171,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L9Y=FMD
172,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L9Y=FMD
173,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L20Y=PMID
174,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L25Y=PMID
175,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L30Y=FMD
176,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L1Y=PMID
177,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L3Y=PMID
178,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L4Y=PMID
179,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L2Y=PMID
180,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L5Y=PMID
181,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L6Y=PMID
182,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L7Y=PMID
183,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L9Y=PMID
184,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L8Y=PMID
185,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L10Y=PMID
186,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L12Y=PMID
187,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L15Y=PMID
188,UK Pound Sterling 60 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L60Y=PMID
189,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L25Y=FMD
190,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP1L6L30Y=PMID
191,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L50Y=PMID
192,UK Pound Sterling/US Dollar 5 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS5Y=
193,UK Pound Sterling/US Dollar 10 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS10Y=
194,UK Pound Sterling/US Dollar 3 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS3Y=
195,UK Pound Sterling/US Dollar 1 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS1Y=
196,UK Pound Sterling/US Dollar 2 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS2Y=
197,UK Pound Sterling/US Dollar 7 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS7Y=
198,UK Pound Sterling/US Dollar 4 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS4Y=
199,UK Pound Sterling/US Dollar 15 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS15Y=
200,UK Pound Sterling/US Dollar 20 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS20Y=
201,UK Pound Sterling/US Dollar 6 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS6Y=
202,UK Pound Sterling/US Dollar 8 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS8Y=
203,UK Pound Sterling/US Dollar 9 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS9Y=
204,UK Pound Sterling/US Dollar 12 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS12Y=
205,UK Pound Sterling/US Dollar 30 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPCBS30Y=
206,UK Pound Sterling/US Dollar 3 Month Currency Basis Swap,Quote,C:4,ICAP,GBPCBS3M=ICAP
207,UK Pound Sterling/Euro 1 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPECB1Y=
208,UK Pound Sterling/Euro 5 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPECB5Y=
209,UK Pound Sterling/Euro 3 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPECB3Y=
210,UK Pound Sterling/Euro 2 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPECB2Y=
211,UK Pound Sterling/Euro 4 Year Currency Basis Swap,Quote,C:4,REFINITIV,GBPECB4Y=
212,UK Pound Sterling/US Dollar 6 Month Currency Basis Swap,Quote,C:4,ICAP,GBPCBS6M=ICAP
213,UK Pound Sterling/US Dollar 40 Year Currency Basis Swap,Quote,C:4,ICAP,GBPCBS40Y=ICAP
214,UK Pound Sterling/US Dollar 9 Month Currency Basis Swap,Quote,C:4,ICAP,GBPCBS9M=ICAP
215,UK Pound Sterling/US Dollar 50 Year Currency Basis Swap,Quote,C:4,ICAP,GBPCBS50Y=ICAP
216,UK Pound Sterling/US Dollar 18 Month Currency Basis Swap,Quote,C:4,ICAP,GBPCBS18M=ICAP
217,UK Pound Sterling 5 Year Forward Starting 5 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L5YF5Y=
218,UK Pound Sterling 1 Year Forward Starting 1 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L1YF1Y=
219,UK Pound Sterling 3 Year Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3YF10Y=
220,UK Pound Sterling 1 Year Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L1YF10Y=
221,UK Pound Sterling 3 Month Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF10Y=
222,UK Pound Sterling 9 Month Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L9MF10Y=
223,UK Pound Sterling 3 Year Forward Starting 3 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3YF3Y=
224,UK Pound Sterling 3 Year Forward Starting 5 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3YF5Y=
225,UK Pound Sterling 3 Month Forward Starting 3 Month Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF3M=
226,UK Pound Sterling 3 Month Forward Starting 9 Month Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF9M=
227,UK Pound Sterling 3 Month Forward Starting 6 Month Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF6M=
228,UK Pound Sterling 3 Year Forward Starting 2 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3YF2Y=
229,UK Pound Sterling 3 Month Forward Starting 2 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF2Y=
230,UK Pound Sterling 3 Month Forward Starting 1 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF1Y=
231,UK Pound Sterling 2 Year Forward Starting 2 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L2YF2Y=
232,UK Pound Sterling 1 Month Forward Starting 1 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L1MF1Y=
233,UK Pound Sterling 6 Month Forward Starting 2 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L6MF2Y=
234,UK Pound Sterling 2 Year Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L2YF10Y=
235,UK Pound Sterling 3 Month Forward Starting 3 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3MF3Y=
236,UK Pound Sterling 9 Month Forward Starting 3 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L9MF3Y=
237,UK Pound Sterling 10 Year Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L10YF10Y=
238,UK Pound Sterling 6 Month Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L6MF10Y=
239,UK Pound Sterling 5 Year Forward Starting 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L5YF10Y=
240,UK Pound Sterling 1 Year Forward Starting 5 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L1YF5Y=
241,UK Pound Sterling 2 Year Forward Starting 5 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L2YF5Y=
